,id,availability,mut,mdt,mtbf,submitted_jobs,finished_jobs,load_duration,locust_user_count,locust_spawn_rate,measurement_count,fault_profile,measurement_seq_start_time,cluster_type,comment,build_number,enhancement
1,28c950b7-e744-46aa-80fa-fc429e62d912,0.5249122807017544,0.2833333333333333,0.28444444444444444,0.5677777777777777,45.833333333333336,32.5,300.0,1.0,1.0,15.0,pod-failure,2022-04-02 18:34:17.993822,eks,final,422,Kafka
4,387bd9f2-511a-4516-9d78-c58d533ac364,0.7363157894736841,0.39555555555555555,0.1511111111111111,0.5466666666666666,55.2,54.6,300.0,1.0,1.0,15.0,network-delay,2022-03-30 16:12:44.120109,eks,final,403,None
6,449d367f-18a9-4183-8167-93a654b219e0,0.97,0.6849999999999999,0.030000000000000006,0.7150000000000001,77.0,75.66666666666667,300.0,1.0,1.0,5.0,pod-kill,2022-04-03 13:50:00.617719,eks,final,434,Heartbeats
9,642fc9ca-a246-4a2c-b602-b73ab3079f26,0.8357142857142856,0.34404761904761905,0.09404761904761903,0.43809523809523804,93.0,78.25,300.0,1.0,1.0,7.0,pod-kill,2022-04-03 19:50:36.678766,eks,final,442,Kafka
13,8ab0e4f9-6224-4a65-97b1-196b787b0dc4,1.0,1.0,0.0,1.0,60.0,60.0,300.0,1.0,1.0,5.0,none,2022-03-29 15:05:56.856168,eks,final,390,None
14,903f2465-335e-4991-8ab6-8d0bd8446406,1.0,1.0,0.0,1.0,59.4,59.4,300.0,1.0,1.0,5.0,stress-cpu,2022-03-31 11:03:54.694877,eks,final,410,None
16,a325098c-965d-4dbf-8c73-33296ac77d03,0.5989473684210527,0.335,0.27944444444444444,0.6144444444444445,36.8,33.53333333333333,300.0,1.0,1.0,15.0,pod-failure,2022-04-03 10:51:11.781131,eks,final,431,Heartbeats
19,cd3a38d1-4acd-4594-9492-303f32e60b29,0.5449122807017545,0.20888888888888887,0.2011111111111111,0.41000000000000003,37.666666666666664,37.666666666666664,300.0,1.0,1.0,5.0,io,2022-03-23 20:12:07.239328,eks,final,357,None
20,d42b44db-f8fc-49cc-86a8-fc6827ca7b0c,0.6349122807017544,0.30388888888888893,0.21055555555555555,0.5144444444444445,40.93333333333333,32.46666666666667,300.0,1.0,1.0,15.0,pod-failure,2022-03-30 20:32:12.322345,eks,final,406,None
21,dae3bd05-8b22-4170-ac83-c1640bd05f2e,1.0,1.0,0.0,1.0,60.0,59.0,300.0,1.0,1.0,1.0,network-partition,2022-03-30 18:18:08.086367,eks,final,405,None
23,e2c28cb0-801c-41d8-9b2d-4d3f47ad1fab,0.97,0.97,0.03,1.0,74.5,74.25,300.0,1.0,1.0,5.0,stress-mem,2022-03-31 12:05:19.992145,eks,final,411,None
25,e63d8cbb-0f7b-487e-8339-4fc0a1839ef5,0.8799999999999999,0.35333333333333333,0.065,0.41833333333333333,68.0,56.75,300.0,1.0,1.0,5.0,pod-kill,2022-04-03 09:53:51.786775,eks,final,428,None
